Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subtype,AssemblyName,quality (run)
SRR1283038,RNA-Seq,154,6907369604,PRJNA210428,SAMN02768721,3756629102,MDAMB453,breast cancer cell line,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX539971,GSM1384316,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-05-12T00:00:00Z,GSM1384316,breast cancer cell line,SRP026537,Luminal,,
SRR925687,RNA-Seq,152,4791837544,PRJNA210428,SAMN02225514,2991026055,184A1,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX317694,GSM1172844,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172844,breast cancer cell line,SRP026537,Non-malignant,,
SRR925688,RNA-Seq,152,4226797608,PRJNA210428,SAMN02225452,2557665875,184B5,breast cancer,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX317695,GSM1172845,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172845,breast cancer cell line,SRP026537,Non-malignant,,
SRR925689,RNA-Seq,156,3858164700,PRJNA210428,SAMN02225454,2232325279,21MT1,breast cancer,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX317696,GSM1172846,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172846,breast cancer cell line,SRP026537,Basal,,
SRR925690,RNA-Seq,156,4561451076,PRJNA210428,SAMN02225455,2623564577,21MT2,breast cancer,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX317697,GSM1172847,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172847,breast cancer cell line,SRP026537,Basal,,
SRR925691,RNA-Seq,156,4668743820,PRJNA210428,SAMN02225453,2687948885,21NT,breast cancer,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX317698,GSM1172848,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172848,breast cancer cell line,SRP026537,Basal,,
SRR925692,RNA-Seq,156,4979737620,PRJNA210428,SAMN02225461,2937910704,21PT,breast cancer,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX317699,GSM1172849,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172849,breast cancer cell line,SRP026537,Basal,,
SRR925693,RNA-Seq,152,2627416976,PRJNA210428,SAMN02225457,1530743579,600MPE,breast cancer,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX317700,GSM1172850,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172850,breast cancer cell line,SRP026537,Luminal,,
SRR925694,RNA-Seq,156,5271370572,PRJNA210428,SAMN02225456,3182126352,AU565,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX317701,GSM1172851,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172851,breast cancer cell line,SRP026537,Luminal,,
SRR925695,RNA-Seq,152,4061975648,PRJNA210428,SAMN02225459,2772974397,BT474,breast cancer,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX317702,GSM1172853,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172853,breast cancer cell line,SRP026537,Luminal,,
SRR925696,RNA-Seq,152,4776182608,PRJNA210428,SAMN02225458,3040304204,BT483,breast cancer,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX317703,GSM1172854,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172854,breast cancer cell line,SRP026537,Luminal,,
SRR925697,RNA-Seq,152,4758977880,PRJNA210428,SAMN02225466,2979070382,BT549,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX317704,GSM1172855,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172855,breast cancer cell line,SRP026537,Claudin-low,,
SRR925698,RNA-Seq,152,4853744560,PRJNA210428,SAMN02225462,3176468222,CAMA1,breast cancer,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX317705,GSM1172856,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172856,breast cancer cell line,SRP026537,Luminal,,
SRR925699,RNA-Seq,156,4218201780,PRJNA210428,SAMN02225460,2404615934,EFM192A,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX317706,GSM1172858,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172858,breast cancer cell line,SRP026537,Luminal,,
SRR925700,RNA-Seq,156,4238393328,PRJNA210428,SAMN02225464,2417802635,EFM192B,breast cancer,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX317707,GSM1172859,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172859,breast cancer cell line,SRP026537,Luminal,,
SRR925701,RNA-Seq,156,4632295356,PRJNA210428,SAMN02225472,2651790289,EFM192C,breast cancer,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX317708,GSM1172860,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172860,breast cancer cell line,SRP026537,Luminal,,
SRR925702,RNA-Seq,152,3817771384,PRJNA210428,SAMN02225463,1897409034,HCC1143,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX317709,GSM1172861,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172861,breast cancer cell line,SRP026537,Basal,,
