,exon_chrom_end
ENSG00000210049,647
ENSG00000211459,1601
ENSG00000210077,1670
ENSG00000210082,3229
ENSG00000209082,3304
ENSG00000198888,4262
ENSG00000210100,4331
ENSG00000210107,4400
ENSG00000210112,4469
ENSG00000198763,5511
ENSG00000210117,5579
ENSG00000210127,5655
ENSG00000210135,5729
ENSG00000210140,5826
ENSG00000210144,5891
ENSG00000198804,7445
ENSG00000210151,7514
ENSG00000210154,7585
ENSG00000198712,8269
ENSG00000210156,8364
ENSG00000228253,8572
ENSG00000198899,9207
ENSG00000198938,9990
ENSG00000210164,10058
ENSG00000198840,10404
ENSG00000210174,10469
ENSG00000212907,10766
ENSG00000198886,12137
ENSG00000210176,12206
ENSG00000210184,12265
ENSG00000210191,12336
ENSG00000198786,14148
ENSG00000198695,14673
ENSG00000210194,14742
ENSG00000198727,15887
ENSG00000210195,15953
ENSG00000210196,16023
ENSG00000242065,44773061
ENSG00000252951,147745417
ENSG00000243352,104912193
ENSG00000239553,66713009
ENSG00000238590,128443510
ENSG00000199567,86019715
ENSG00000264352,34809556
ENSG00000252443,69786113
ENSG00000243532,70654883
ENSG00000212567,40790204
ENSG00000202314,93731574
ENSG00000199880,138123111
ENSG00000221643,203729705
ENSG00000243115,12765055
ENSG00000264910,58543578
ENSG00000252852,117313661
ENSG00000252982,174057864
ENSG00000206795,12149238
ENSG00000202237,28703807
ENSG00000252151,14124335
ENSG00000222146,112148825
ENSG00000201812,14070986
ENSG00000222594,145035436
ENSG00000206779,28422655
ENSG00000273908,32440009
ENSG00000201690,102017069
ENSG00000199362,75837645
ENSG00000200052,165122823
ENSG00000277551,54913762
ENSG00000265123,34685642
ENSG00000276670,44940245
ENSG00000264071,43492313
ENSG00000252872,96377920
ENSG00000251887,31832535
ENSG00000222429,4619852
ENSG00000252812,40407440
ENSG00000207201,24077158
ENSG00000240173,140646126
ENSG00000253038,39034110
ENSG00000206745,41302572
ENSG00000252130,191371044
ENSG00000223224,71758487
ENSG00000274197,130114335
ENSG00000277563,24255333
ENSG00000201185,4428081
ENSG00000201035,21113236
ENSG00000251998,163796165
ENSG00000202532,127845341
ENSG00000252634,21785587
ENSG00000199878,143197591
ENSG00000252325,21879904
ENSG00000239964,36522501
ENSG00000201901,85100823
ENSG00000240823,61444423
ENSG00000265116,31575927
