,exon_chrom_start
ENSG00000210049,577
ENSG00000211459,648
ENSG00000210077,1602
ENSG00000210082,1671
ENSG00000209082,3230
ENSG00000198888,3307
ENSG00000210100,4263
ENSG00000210107,4329
ENSG00000210112,4402
ENSG00000198763,4470
ENSG00000210117,5512
ENSG00000210127,5587
ENSG00000210135,5657
ENSG00000210140,5761
ENSG00000210144,5826
ENSG00000198804,5904
ENSG00000210151,7446
ENSG00000210154,7518
ENSG00000198712,7586
ENSG00000210156,8295
ENSG00000228253,8366
ENSG00000198899,8527
ENSG00000198938,9207
ENSG00000210164,9991
ENSG00000198840,10059
ENSG00000210174,10405
ENSG00000212907,10470
ENSG00000198886,10760
ENSG00000210176,12138
ENSG00000210184,12207
ENSG00000210191,12266
ENSG00000198786,12337
ENSG00000198695,14149
ENSG00000210194,14674
ENSG00000198727,14747
ENSG00000210195,15888
ENSG00000210196,15956
ENSG00000242065,44772773
ENSG00000252951,147745303
ENSG00000243352,104911928
ENSG00000239553,66712720
ENSG00000238590,128443449
ENSG00000199567,86019608
ENSG00000264352,34809233
ENSG00000252443,69785994
ENSG00000243532,70654578
ENSG00000212567,40790077
ENSG00000202314,93731502
ENSG00000199880,138123011
ENSG00000221643,203729581
ENSG00000243115,12764761
ENSG00000264910,58543299
ENSG00000252852,117313528
ENSG00000252982,174057641
ENSG00000206795,12149126
ENSG00000202237,28703702
ENSG00000252151,14124233
ENSG00000222146,112148742
ENSG00000201812,14070871
ENSG00000222594,145035132
ENSG00000206779,28422555
ENSG00000273908,32439716
ENSG00000201690,102016953
ENSG00000199362,75837544
ENSG00000200052,165122713
ENSG00000277551,54913656
ENSG00000265123,34685355
ENSG00000276670,44940045
ENSG00000264071,43492032
ENSG00000252872,96377857
ENSG00000251887,31832439
ENSG00000222429,4619749
ENSG00000252812,40407122
ENSG00000207201,24076997
ENSG00000240173,140645829
ENSG00000253038,39034007
ENSG00000206745,41302466
ENSG00000252130,191370938
ENSG00000223224,71758402
ENSG00000274197,130114251
ENSG00000277563,24255246
ENSG00000201185,4427963
ENSG00000201035,21113128
ENSG00000251998,163796065
ENSG00000202532,127845236
ENSG00000252634,21785292
ENSG00000199878,143197248
ENSG00000252325,21879801
ENSG00000239964,36522191
ENSG00000201901,85100496
ENSG00000240823,61444149
ENSG00000265116,31575852
ENSG00000280496,136726104
ENSG00000241964,63234634
ENSG00000251730,183454128
ENSG00000252312,36231555
ENSG00000278003,28665659
ENSG00000222337,99284022
ENSG00000206665,35495898
ENSG00000283519,75270700
ENSG00000276183,18418526
