,exonic_length
ENSG00000000003,7621
ENSG00000000005,1636
ENSG00000000419,2504
ENSG00000000457,8707
ENSG00000000460,7617
ENSG00000000938,6727
ENSG00000000971,9915
ENSG00000001036,3379
ENSG00000001084,15179
ENSG00000001167,4495
ENSG00000001460,12737
ENSG00000001461,10656
ENSG00000001497,6762
ENSG00000001561,4640
ENSG00000001617,9490
ENSG00000001626,14414
ENSG00000001629,9326
ENSG00000001630,4717
ENSG00000001631,15251
ENSG00000002016,13974
ENSG00000002079,7351
ENSG00000002330,3498
ENSG00000002549,7066
ENSG00000002586,8283
ENSG00000002587,7786
ENSG00000002726,6620
ENSG00000002745,3836
ENSG00000002746,17430
ENSG00000002822,9779
ENSG00000002834,15633
ENSG00000002919,10363
ENSG00000002933,7584
ENSG00000003056,10112
ENSG00000003096,10171
ENSG00000003137,8893
ENSG00000003147,10617
ENSG00000003249,7230
ENSG00000003393,13266
ENSG00000003400,17072
ENSG00000003402,30263
ENSG00000003436,14190
ENSG00000003509,7217
ENSG00000003756,18825
ENSG00000003987,7819
ENSG00000003989,19873
ENSG00000004059,3855
ENSG00000004139,15581
ENSG00000004142,3447
ENSG00000004399,15010
ENSG00000004455,26301
ENSG00000004468,9031
ENSG00000004478,6398
ENSG00000004487,8454
ENSG00000004534,12596
ENSG00000004660,7882
ENSG00000004700,5944
ENSG00000004766,19693
ENSG00000004776,2603
ENSG00000004777,9511
ENSG00000004779,2322
ENSG00000004799,6922
ENSG00000004809,6086
ENSG00000004838,6137
ENSG00000004846,10120
ENSG00000004848,3311
ENSG00000004864,6446
ENSG00000004866,12767
ENSG00000004897,11042
ENSG00000004939,6975
ENSG00000004948,7508
ENSG00000004961,4278
ENSG00000004975,10042
ENSG00000005001,4943
ENSG00000005007,12408
ENSG00000005020,6226
ENSG00000005022,2360
ENSG00000005059,4790
ENSG00000005073,4801
ENSG00000005075,1620
ENSG00000005100,9186
ENSG00000005102,4851
ENSG00000005108,18274
ENSG00000005156,17480
ENSG00000005175,6880
ENSG00000005187,10390
ENSG00000005189,7388
ENSG00000005194,8596
ENSG00000005206,12747
ENSG00000005238,12087
ENSG00000005243,3304
ENSG00000005249,4402
ENSG00000005302,62088
ENSG00000005339,21075
ENSG00000005379,17444
ENSG00000005381,4816
ENSG00000005421,3675
ENSG00000005436,13045
ENSG00000005448,7573
ENSG00000005469,6883
ENSG00000005471,11197
ENSG00000005483,19585
ENSG00000005486,6733
ENSG00000005513,7235
ENSG00000005700,16228
ENSG00000005801,29091
ENSG00000005810,21785
ENSG00000005812,8705
ENSG00000005844,12779
ENSG00000005882,10344
ENSG00000005884,16666
ENSG00000005889,19611
ENSG00000005893,11112
ENSG00000005961,7455
ENSG00000005981,5604
ENSG00000006007,7460
ENSG00000006015,7714
ENSG00000006016,3689
ENSG00000006025,13668
ENSG00000006042,7661
ENSG00000006047,8213
ENSG00000006059,1296
ENSG00000006062,11526
ENSG00000006071,35623
ENSG00000006116,1913
ENSG00000006118,15723
ENSG00000006125,14274
ENSG00000006128,3367
ENSG00000006194,12504
ENSG00000006210,12947
ENSG00000006282,14839
ENSG00000006283,18454
ENSG00000006327,3305
ENSG00000006377,4377
ENSG00000006432,18100
ENSG00000006451,4738
ENSG00000006453,5608
ENSG00000006459,16277
ENSG00000006468,27649
ENSG00000006530,26064
ENSG00000006534,12729
ENSG00000006555,8312
ENSG00000006576,17072
ENSG00000006606,852
ENSG00000006607,19967
ENSG00000006611,7563
ENSG00000006625,5013
ENSG00000006634,9081
ENSG00000006638,5541
ENSG00000006652,13344
ENSG00000006659,1271
ENSG00000006695,11751
ENSG00000006704,8269
ENSG00000006712,4836
ENSG00000006715,9698
ENSG00000006740,14321
ENSG00000006744,13934
ENSG00000006747,14538
ENSG00000006756,9745
ENSG00000006757,5602
ENSG00000006788,6420
ENSG00000006831,6649
ENSG00000006837,4476
ENSG00000007001,4309
ENSG00000007038,4846
ENSG00000007047,13770
ENSG00000007062,13897
ENSG00000007080,2555
ENSG00000007129,3804
ENSG00000007168,12273
ENSG00000007171,5306
ENSG00000007174,20717
ENSG00000007202,13908
ENSG00000007216,6580
ENSG00000007237,20254
ENSG00000007255,1770
ENSG00000007264,7836
ENSG00000007306,4423
ENSG00000007312,3451
ENSG00000007314,8766
ENSG00000007341,18245
ENSG00000007350,4557
ENSG00000007372,68359
ENSG00000007376,8266
ENSG00000007384,9769
ENSG00000007392,14117
ENSG00000007402,13466
ENSG00000007516,11378
ENSG00000007520,1480
ENSG00000007541,19773
ENSG00000007545,14480
ENSG00000007866,3518
ENSG00000007908,6923
ENSG00000007923,9394
ENSG00000007933,4830
ENSG00000007944,3303
ENSG00000007952,3917
ENSG00000007968,5737
ENSG00000008018,2503
ENSG00000008056,5695
ENSG00000008083,8299
ENSG00000008086,21139
ENSG00000008118,5541
ENSG00000008128,12195
ENSG00000008130,9518
ENSG00000008196,6274
ENSG00000008197,2257
ENSG00000008226,10120
ENSG00000008256,10893
ENSG00000008277,14565
ENSG00000008282,6473
ENSG00000008283,17836
ENSG00000008294,19762
ENSG00000008300,17928
ENSG00000008311,10404
ENSG00000008323,6004
ENSG00000008324,2310
ENSG00000008382,3849
ENSG00000008394,10546
ENSG00000008405,7131
ENSG00000008438,705
ENSG00000008441,11776
ENSG00000008513,20261
ENSG00000008516,5297
ENSG00000008517,18043
ENSG00000008710,37619
ENSG00000008735,9327
ENSG00000008838,16454
ENSG00000008853,11767
ENSG00000008869,9013
ENSG00000008952,10063
ENSG00000008988,6894
ENSG00000009307,13942
ENSG00000009335,12725
ENSG00000009413,18012
ENSG00000009694,18409
ENSG00000009709,8154
ENSG00000009724,4911
ENSG00000009765,18900
ENSG00000009780,7096
ENSG00000009790,13663
ENSG00000009830,18143
ENSG00000009844,10721
ENSG00000009950,9430
ENSG00000009954,8260
ENSG00000010017,3914
ENSG00000010030,4052
ENSG00000010072,9399
ENSG00000010165,7425
ENSG00000010219,10930
ENSG00000010244,28210
ENSG00000010256,5407
ENSG00000010270,6811
ENSG00000010278,10324
ENSG00000010282,5255
ENSG00000010292,9242
ENSG00000010295,15065
ENSG00000010310,8963
ENSG00000010318,6945
ENSG00000010319,5433
ENSG00000010322,13131
ENSG00000010327,14534
ENSG00000010361,9612
ENSG00000010379,6233
ENSG00000010404,10606
ENSG00000010438,2785
ENSG00000010539,17918
ENSG00000010610,8867
ENSG00000010626,6359
ENSG00000010671,6748
ENSG00000010704,11301
ENSG00000010803,7481
ENSG00000010810,14581
ENSG00000010818,13240
ENSG00000010932,7367
ENSG00000011007,8705
ENSG00000011009,5398
ENSG00000011021,13455
ENSG00000011028,11013
ENSG00000011052,1571
ENSG00000011083,4955
ENSG00000011105,11086
ENSG00000011114,16446
ENSG00000011132,9754
ENSG00000011143,7994
ENSG00000011198,19531
ENSG00000011201,7603
ENSG00000011243,10206
ENSG00000011258,12820
ENSG00000011260,4027
ENSG00000011275,10540
ENSG00000011295,12106
ENSG00000011304,16996
ENSG00000011332,11384
ENSG00000011347,12625
ENSG00000011376,19161
ENSG00000011405,11098
ENSG00000011422,8371
ENSG00000011426,9389
ENSG00000011451,17467
ENSG00000011454,11632
ENSG00000011465,17386
ENSG00000011478,4039
ENSG00000011485,16517
ENSG00000011523,13638
ENSG00000011566,10922
ENSG00000011590,3196
ENSG00000011600,2383
ENSG00000011638,6997
ENSG00000011677,4683
ENSG00000012048,27690
ENSG00000012061,7854
ENSG00000012124,16834
ENSG00000012171,16575
ENSG00000012174,9441
ENSG00000012211,7058
ENSG00000012223,5230
ENSG00000012232,17406
ENSG00000012504,7951
ENSG00000012660,6200
ENSG00000012779,5897
ENSG00000012817,16820
ENSG00000012822,15758
ENSG00000012963,4913
ENSG00000012983,10337
ENSG00000013016,4819
ENSG00000013275,4180
ENSG00000013288,11318
ENSG00000013293,10603
ENSG00000013297,7726
ENSG00000013306,10860
ENSG00000013364,10592
ENSG00000013374,8842
ENSG00000013375,16721
ENSG00000013392,3766
ENSG00000013441,12226
ENSG00000013503,5716
ENSG00000013523,8589
ENSG00000013561,10941
ENSG00000013563,11027
ENSG00000013573,19630
ENSG00000013583,4449
ENSG00000013588,12616
ENSG00000013619,11165
ENSG00000013725,10643
ENSG00000013810,15745
ENSG00000014123,4663
ENSG00000014138,8297
ENSG00000014164,3802
ENSG00000014216,14957
ENSG00000014257,6160
ENSG00000014641,7457
ENSG00000014824,8522
ENSG00000014914,8729
ENSG00000014919,7160
ENSG00000015133,18432
ENSG00000015153,17783
ENSG00000015171,12798
ENSG00000015285,3986
ENSG00000015413,5367
ENSG00000015475,11294
ENSG00000015479,26452
ENSG00000015520,6900
ENSG00000015532,8653
ENSG00000015568,18779
ENSG00000015592,6433
ENSG00000015676,15465
ENSG00000016082,3124
ENSG00000016391,8735
ENSG00000016402,5912
ENSG00000016490,3501
ENSG00000016602,3677
ENSG00000016864,10289
ENSG00000017260,15731
ENSG00000017427,9216
ENSG00000017483,7100
ENSG00000017797,9589
ENSG00000018189,13682
ENSG00000018236,11730
ENSG00000018280,18355
ENSG00000018408,12827
ENSG00000018510,9633
ENSG00000018607,1771
ENSG00000018610,3670
ENSG00000018625,8183
ENSG00000018699,4454
ENSG00000018869,7882
ENSG00000019102,1700
ENSG00000019144,32978
ENSG00000019169,2839
ENSG00000019186,6279
ENSG00000019485,15713
ENSG00000019505,6266
ENSG00000019549,5626
ENSG00000019582,8561
ENSG00000019991,13809
ENSG00000019995,6141
ENSG00000020129,8104
ENSG00000020181,7834
ENSG00000020219,1673
ENSG00000020256,8172
ENSG00000020426,5923
ENSG00000020577,26233
ENSG00000020633,10141
ENSG00000020922,9927
ENSG00000021300,9811
ENSG00000021355,3429
ENSG00000021461,4441
ENSG00000021488,3950
ENSG00000021574,28614
ENSG00000021645,28286
ENSG00000021762,14971
ENSG00000021776,16483
ENSG00000021826,16198
ENSG00000021852,3704
ENSG00000022267,18812
ENSG00000022277,7077
ENSG00000022355,31226
ENSG00000022556,10760
ENSG00000022567,12625
ENSG00000022840,12917
ENSG00000022976,9957
ENSG00000023041,4623
ENSG00000023171,24798
ENSG00000023191,16562
ENSG00000023228,15260
ENSG00000023287,11846
ENSG00000023318,4796
ENSG00000023330,4171
ENSG00000023445,14172
ENSG00000023516,9902
ENSG00000023572,7193
ENSG00000023608,2583
ENSG00000023697,4529
ENSG00000023734,4418
ENSG00000023839,10295
ENSG00000023892,2879
ENSG00000023902,10934
ENSG00000023909,8209
ENSG00000024048,8791
ENSG00000024422,6123
ENSG00000024526,8524
ENSG00000024862,3147
ENSG00000025039,8628
ENSG00000025156,3071
ENSG00000025293,10784
ENSG00000025423,5072
ENSG00000025434,15092
ENSG00000025708,9881
ENSG00000025770,7283
ENSG00000025772,1966
ENSG00000025796,11089
ENSG00000025800,10258
ENSG00000026025,9525
ENSG00000026036,11060
ENSG00000026103,16448
ENSG00000026297,21620
ENSG00000026508,20530
ENSG00000026559,8159
ENSG00000026652,21658
ENSG00000026751,7520
ENSG00000026950,12194
ENSG00000027001,3706
ENSG00000027075,13029
ENSG00000027644,5178
ENSG00000027697,5930
ENSG00000027847,9409
ENSG00000027869,3931
ENSG00000028116,7025
ENSG00000028137,6747
ENSG00000028203,23401
ENSG00000028277,20602
ENSG00000028310,14239
ENSG00000028528,14863
ENSG00000028839,6621
ENSG00000029153,8857
ENSG00000029363,30259
ENSG00000029364,19284
ENSG00000029534,17795
ENSG00000029559,1566
ENSG00000029639,5938
ENSG00000029725,8586
ENSG00000029993,4785
ENSG00000030066,12051
ENSG00000030110,3885
ENSG00000030304,12260
ENSG00000030419,21162
ENSG00000030582,8780
ENSG00000031003,8902
ENSG00000031081,9405
ENSG00000031691,1732
ENSG00000031698,5701
ENSG00000031823,11865
ENSG00000032219,12976
ENSG00000032389,8001
ENSG00000032444,12239
ENSG00000032742,7833
ENSG00000033011,9971
ENSG00000033030,18212
ENSG00000033050,5708
ENSG00000033100,6749
ENSG00000033122,40453
ENSG00000033170,14835
ENSG00000033178,12553
ENSG00000033327,12307
ENSG00000033627,22814
ENSG00000033800,13220
ENSG00000033867,16427
ENSG00000034053,11357
ENSG00000034152,8636
ENSG00000034239,7696
ENSG00000034510,458
ENSG00000034533,6028
ENSG00000034677,12581
ENSG00000034693,3553
ENSG00000034713,4302
ENSG00000034971,2247
ENSG00000035115,23132
ENSG00000035141,6260
ENSG00000035403,15346
ENSG00000035499,4935
ENSG00000035664,18427
ENSG00000035681,10959
ENSG00000035687,3737
ENSG00000035720,2379
ENSG00000035862,9433
ENSG00000035928,9781
ENSG00000036054,9659
ENSG00000036257,16375
ENSG00000036448,10154
ENSG00000036473,2215
ENSG00000036530,11239
ENSG00000036549,13784
ENSG00000036565,6986
ENSG00000036672,6515
ENSG00000036828,20729
ENSG00000037042,3483
ENSG00000037241,2455
ENSG00000037280,11836
ENSG00000037474,10619
ENSG00000037637,10174
ENSG00000037749,10764
ENSG00000037757,5041
ENSG00000037897,4714
ENSG00000037965,2415
ENSG00000038002,3544
ENSG00000038210,3966
ENSG00000038219,17590
ENSG00000038274,11734
ENSG00000038295,10889
ENSG00000038358,12022
ENSG00000038382,28445
ENSG00000038427,29848
ENSG00000038532,18627
ENSG00000038945,11737
ENSG00000039068,14172
ENSG00000039123,8113
ENSG00000039139,17095
ENSG00000039319,25899
ENSG00000039523,12784
ENSG00000039537,5550
ENSG00000039560,14011
ENSG00000039600,5280
ENSG00000039650,10704
ENSG00000039987,4624
ENSG00000040199,20993
ENSG00000040275,8308
ENSG00000040341,22264
ENSG00000040487,4105
ENSG00000040531,11253
ENSG00000040608,5675
ENSG00000040633,8913
ENSG00000040731,6374
ENSG00000040933,25476
ENSG00000041353,7801
ENSG00000041357,15100
ENSG00000041515,10592
ENSG00000041802,6538
ENSG00000041880,6696
ENSG00000041982,16526
ENSG00000041988,6873
ENSG00000042062,8594
ENSG00000042088,12377
ENSG00000042286,8040
ENSG00000042304,5818
ENSG00000042317,14630
ENSG00000042429,35197
ENSG00000042445,8061
ENSG00000042493,4852
ENSG00000042753,3678
ENSG00000042781,21487
ENSG00000042813,3260
ENSG00000042832,14728
ENSG00000042980,11723
ENSG00000043039,4048
ENSG00000043093,12909
ENSG00000043143,15762
ENSG00000043355,3984
ENSG00000043462,11511
ENSG00000043514,11558
ENSG00000043591,3038
ENSG00000044012,601
ENSG00000044090,9637
ENSG00000044115,20933
ENSG00000044446,11264
ENSG00000044459,11818
ENSG00000044524,7376
ENSG00000044574,3913
ENSG00000046604,6283
ENSG00000046647,4078
ENSG00000046651,7653
ENSG00000046653,10034
ENSG00000046774,1991
ENSG00000046889,12582
ENSG00000047056,13606
ENSG00000047188,14891
ENSG00000047230,9139
ENSG00000047249,9767
ENSG00000047315,8178
ENSG00000047346,13837
ENSG00000047365,14496
ENSG00000047410,14566
ENSG00000047457,12469
ENSG00000047578,11306
ENSG00000047579,7474
ENSG00000047597,5171
ENSG00000047617,9378
ENSG00000047621,6560
ENSG00000047634,8731
ENSG00000047644,7457
ENSG00000047648,16636
ENSG00000047662,6713
ENSG00000047849,29069
ENSG00000047932,8762
ENSG00000047936,8199
ENSG00000048028,11223
ENSG00000048052,28107
ENSG00000048140,12449
ENSG00000048162,6107
ENSG00000048342,15656
ENSG00000048392,9828
ENSG00000048405,9462
ENSG00000048462,1915
ENSG00000048471,12147
ENSG00000048540,33989
ENSG00000048544,2093
ENSG00000048545,2597
ENSG00000048649,22585
ENSG00000048707,27789
ENSG00000048740,40116
ENSG00000048828,9646
ENSG00000048991,15930
ENSG00000049089,6821
ENSG00000049130,9487
ENSG00000049167,10931
ENSG00000049192,13649
ENSG00000049239,16404
ENSG00000049245,3065
ENSG00000049246,12956
ENSG00000049247,2258
ENSG00000049249,11759
ENSG00000049283,13411
ENSG00000049323,12679
ENSG00000049449,8878
ENSG00000049540,15374
ENSG00000049541,5564
ENSG00000049618,92041
ENSG00000049656,10933
ENSG00000049759,32654
ENSG00000049768,5226
ENSG00000049769,12180
ENSG00000049860,7622
ENSG00000049883,19220
ENSG00000050030,23444
ENSG00000050130,9932
ENSG00000050165,17768
ENSG00000050327,8194
ENSG00000050344,6285
ENSG00000050393,6459
ENSG00000050405,14652
ENSG00000050426,23635
ENSG00000050438,22909
ENSG00000050555,8627
ENSG00000050628,13397
ENSG00000050730,5586
ENSG00000050748,18120
ENSG00000050767,4721
ENSG00000050820,24480
ENSG00000051009,6531
ENSG00000051108,12177
ENSG00000051128,6238
ENSG00000051180,6900
ENSG00000051341,11174
ENSG00000051382,19507
ENSG00000051523,5853
ENSG00000051596,6299
